Unnamed: 0,breed,image_path,annotation_path,xmin,ymin,xmax,ymax
48,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2517.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2517,125,26,372,314
49,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2590.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2590,201,88,417,239
50,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2614.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2614,123,2,305,374
51,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2650.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2650,108,87,405,303
52,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2693.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2693,188,140,325,307
53,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2706.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2706,105,39,229,217
54,chihuahua,images/Images/n02085620-Chihuahua/n02085620_275.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_275,179,53,326,191
55,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2793.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2793,23,0,351,287
56,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2815.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2815,60,6,495,597
57,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2887.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2887,16,23,289,355
58,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2903.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2903,210,57,468,332
59,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2921.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2921,30,15,202,224
60,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2937.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2937,121,28,256,192
61,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2973.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2973,71,78,320,450
62,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2981.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2981,399,314,562,525
63,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3006.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3006,86,42,356,492
64,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3033.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3033,164,137,456,335
65,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3045.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3045,101,106,318,343
66,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3093.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3093,155,183,320,427
67,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3110.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3110,98,32,285,258
68,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3208.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3208,100,21,451,374
69,chihuahua,images/Images/n02085620-Chihuahua/n02085620_326.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_326,0,66,264,470
70,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3402.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3402,155,117,466,297
71,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3407.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3407,0,14,478,304
72,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3409.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3409,2,1,389,331
73,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3423.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3423,27,27,174,196
74,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3485.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3485,25,9,282,315
75,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3488.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3488,78,67,424,326
76,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3593.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3593,2,7,199,227
77,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3651.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3651,152,216,275,370
78,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3677.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3677,67,24,499,308
79,chihuahua,images/Images/n02085620-Chihuahua/n02085620_368.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_368,155,24,418,316
80,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3681.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3681,128,26,406,442
81,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3742.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3742,72,24,538,408
82,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3763.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3763,6,0,131,131
83,chihuahua,images/Images/n02085620-Chihuahua/n02085620_382.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_382,134,24,361,373
84,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3826.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3826,2,0,454,332
85,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3838.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3838,75,2,349,324
86,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3875.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3875,125,14,340,332
87,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3877.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3877,0,17,331,498
88,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3880.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3880,1,63,281,498
89,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3928.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3928,75,21,399,374
90,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3942.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3942,10,11,440,498
91,chihuahua,images/Images/n02085620-Chihuahua/n02085620_3975.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_3975,45,63,274,463
92,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4016.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4016,2,8,629,478
93,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4159.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4159,167,78,287,319
94,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4207.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4207,19,16,464,317
95,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4266.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4266,0,0,285,374
96,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4290.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4290,36,155,290,458
97,chihuahua,images/Images/n02085620-Chihuahua/n02085620_431.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_431,180,113,387,360
98,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4441.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4441,107,110,296,401
99,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4515.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4515,94,127,222,327
100,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4572.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4572,67,137,222,380
101,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4602.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4602,1230,416,2541,2441
102,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4673.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4673,85,78,300,373
103,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4700.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4700,30,32,372,498
104,chihuahua,images/Images/n02085620-Chihuahua/n02085620_473.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_473,43,146,251,319
105,chihuahua,images/Images/n02085620-Chihuahua/n02085620_477.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_477,209,6,452,284
106,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4814.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4814,25,19,221,238
107,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4875.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4875,17,3,494,457
108,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4919.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4919,10,22,180,205
109,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4951.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4951,65,27,441,349
110,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4980.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4980,153,93,323,205
111,chihuahua,images/Images/n02085620-Chihuahua/n02085620_4998.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_4998,129,124,323,374
112,chihuahua,images/Images/n02085620-Chihuahua/n02085620_500.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_500,8,87,432,340
113,chihuahua,images/Images/n02085620-Chihuahua/n02085620_5093.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_5093,70,91,230,360
114,chihuahua,images/Images/n02085620-Chihuahua/n02085620_5312.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_5312,42,11,499,373
115,chihuahua,images/Images/n02085620-Chihuahua/n02085620_5496.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_5496,0,9,284,332
116,chihuahua,images/Images/n02085620-Chihuahua/n02085620_5661.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_5661,176,42,422,286
117,chihuahua,images/Images/n02085620-Chihuahua/n02085620_5713.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_5713,158,14,482,403
118,chihuahua,images/Images/n02085620-Chihuahua/n02085620_574.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_574,61,65,433,374
119,chihuahua,images/Images/n02085620-Chihuahua/n02085620_575.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_575,249,51,384,339
120,chihuahua,images/Images/n02085620-Chihuahua/n02085620_5771.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_5771,124,234,252,371
121,chihuahua,images/Images/n02085620-Chihuahua/n02085620_588.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_588,78,117,321,473
122,chihuahua,images/Images/n02085620-Chihuahua/n02085620_5927.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_5927,30,14,236,298
123,chihuahua,images/Images/n02085620-Chihuahua/n02085620_6295.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_6295,70,148,179,430
124,chihuahua,images/Images/n02085620-Chihuahua/n02085620_6399.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_6399,107,70,235,147
125,chihuahua,images/Images/n02085620-Chihuahua/n02085620_6931.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_6931,96,87,380,332
126,chihuahua,images/Images/n02085620-Chihuahua/n02085620_7.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_7,71,1,192,180
127,chihuahua,images/Images/n02085620-Chihuahua/n02085620_712.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_712,98,61,349,325
128,chihuahua,images/Images/n02085620-Chihuahua/n02085620_7292.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_7292,69,6,174,139
129,chihuahua,images/Images/n02085620-Chihuahua/n02085620_730.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_730,177,134,347,367
130,chihuahua,images/Images/n02085620-Chihuahua/n02085620_735.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_735,92,71,185,286
131,chihuahua,images/Images/n02085620-Chihuahua/n02085620_7436.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_7436,0,25,373,498
132,chihuahua,images/Images/n02085620-Chihuahua/n02085620_7440.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_7440,21,0,473,374
133,chihuahua,images/Images/n02085620-Chihuahua/n02085620_7613.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_7613,159,119,367,342
134,chihuahua,images/Images/n02085620-Chihuahua/n02085620_7700.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_7700,0,0,379,374
135,chihuahua,images/Images/n02085620-Chihuahua/n02085620_7738.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_7738,119,103,332,355
136,chihuahua,images/Images/n02085620-Chihuahua/n02085620_806.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_806,189,288,464,483
137,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8420.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8420,53,68,312,249
138,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8491.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8491,17,17,386,342
139,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8558.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8558,49,35,171,154
140,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8578.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8578,62,35,336,323
141,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8585.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8585,125,9,321,267
142,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8611.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8611,105,12,254,266
143,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8636.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8636,45,130,204,262
144,chihuahua,images/Images/n02085620-Chihuahua/n02085620_8637.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_8637,143,46,457,301
145,chihuahua,images/Images/n02085620-Chihuahua/n02085620_9351.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_9351,139,12,359,327
146,chihuahua,images/Images/n02085620-Chihuahua/n02085620_9357.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_9357,63,90,418,248
147,chihuahua,images/Images/n02085620-Chihuahua/n02085620_9399.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_9399,149,74,286,249
148,chihuahua,images/Images/n02085620-Chihuahua/n02085620_9414.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_9414,42,0,343,281
149,chihuahua,images/Images/n02085620-Chihuahua/n02085620_949.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_949,8,16,374,357
150,chihuahua,images/Images/n02085620-Chihuahua/n02085620_952.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_952,107,29,370,498
151,chihuahua,images/Images/n02085620-Chihuahua/n02085620_9654.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_9654,0,36,420,498
152,japanese-spaniel,images/Images/n02085782-Japanese_spaniel/n02085782_1039.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085782-Japanese_spaniel/n02085782_1039,1,1,374,374
153,japanese-spaniel,images/Images/n02085782-Japanese_spaniel/n02085782_1058.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085782-Japanese_spaniel/n02085782_1058,82,53,169,127
154,japanese-spaniel,images/Images/n02085782-Japanese_spaniel/n02085782_1059.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085782-Japanese_spaniel/n02085782_1059,142,8,361,410
155,japanese-spaniel,images/Images/n02085782-Japanese_spaniel/n02085782_1077.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085782-Japanese_spaniel/n02085782_1077,27,36,505,316
